state,poll_grade,sample_size,voter_type,poll_weight,dem_cand,rep_cand,poll_duration,poll_methodology,days_before_election
New Mexico,C-,987.0,lv,2.014153,0.42582879999999995,0.334026,6.0,Online,8.0
Iowa,C-,984.0,lv,2.011873,0.3857957,0.4441204,6.0,Online,8.0
Wisconsin,B+,804.0,lv,1.9980939999999998,0.4749331,0.38255920000000004,1.0,Phone,20.0
Nevada,B,550.0,lv,1.9929139999999999,0.4346439,0.4076126,1.0,Phone,12.0
Illinois,B-,600.0,lv,1.9920630000000001,0.45529949999999997,0.3579656,1.0,Phone,12.0
Florida,C+,698.0,lv,1.9901939999999998,0.4238197,0.4549828,1.0,Phone,13.0
Kentucky,C+,602.0,lv,1.953334,0.359499,0.5364405999999999,5.0,Phone,9.0
North Carolina,B+,535.0,lv,1.9522599999999999,0.4179168,0.4336257,4.0,Phone,12.0
Minnesota,B+,625.0,lv,1.9402080000000002,0.4528456,0.4073617,2.0,Phone,17.0
Texas,C+,800.0,lv,1.939613,0.3736864,0.46555300000000005,2.0,Phone,15.0
Utah,C+,823.0,lv,1.929482,0.22649379999999997,0.3283959,7.0,Phone,12.0
Washington,A+,502.0,lv,1.9080990000000002,0.4754528,0.3456497,2.0,Phone,17.0
Pennsylvania,B,550.0,lv,1.907032,0.47415050000000003,0.42005249999999994,1.0,Phone,13.0
California,A,725.0,lv,1.898653,0.5445079,0.31472490000000003,2.0,Phone,24.0
New Hampshire,B,772.0,lv,1.8907490000000002,0.42322299999999996,0.4002383,4.0,Online,18.0
New Hampshire,B,600.0,lv,1.886985,0.45201630000000004,0.4287748,2.0,Phone,14.0
Florida,B,500.0,lv,1.863473,0.45466949999999995,0.4375312,1.0,Phone,12.0
Utah,C+,750.0,lv,1.8512540000000002,0.2814291,0.33450379999999996,1.0,Phone,15.0
Idaho,C+,750.0,lv,1.8512540000000002,0.2918272,0.4958805,1.0,Phone,15.0
Massachusetts,C-,796.0,lv,1.8492259999999998,0.5655784,0.2847404,6.0,Online,8.0
Massachusetts,B+,500.0,lv,1.847854,0.5653668000000001,0.2661449,2.0,Phone,13.0
Minnesota,C-,773.0,lv,1.8262330000000002,0.44581590000000004,0.36406279999999996,6.0,Online,8.0
Maine,C,812.0,lv,1.8072290000000002,0.42742259999999993,0.38651060000000004,2.0,Phone,13.0
Washington,C-,745.0,lv,1.7971669999999997,0.515756,0.33423390000000003,6.0,Online,8.0
Oregon,C-,743.0,lv,1.795045,0.49577550000000004,0.354178,6.0,Online,8.0
New Hampshire,A+,401.0,lv,1.7941599999999998,0.4429202,0.4316707,3.0,Phone,14.0
Montana,B+,1003.0,lv,1.793639,0.3466899,0.4865468,2.0,Phone,27.0
Maryland,C-,740.0,lv,1.7918479999999999,0.6159426,0.2637015,6.0,Online,8.0
Michigan,B,500.0,lv,1.7831689999999998,0.4940014,0.4205725,1.0,Phone,13.0
Michigan,D,953.0,lv,1.7798630000000002,0.4562616,0.3989562,0.0,Phone,9.0
New Hampshire,C+,525.0,lv,1.779648,0.4643703,0.40474829999999995,4.0,Phone,9.0
New Jersey,C-,724.0,lv,1.7745520000000001,0.5358419,0.3439886,6.0,Online,8.0
Nevada,C+,525.0,lv,1.767052,0.4346488,0.4139539,4.0,Phone,9.0
North Carolina,C+,525.0,lv,1.767052,0.4447632,0.46362749999999997,4.0,Phone,9.0
Florida,C+,525.0,lv,1.767052,0.4346656,0.4839058,4.0,Phone,9.0
Pennsylvania,C+,525.0,lv,1.767052,0.44471449999999996,0.4237663,4.0,Phone,9.0
Ohio,C+,525.0,lv,1.767052,0.4846545,0.41393749999999996,4.0,Phone,9.0
Pennsylvania,A+,806.0,lv,1.7335479999999999,0.48197159999999994,0.41213079999999996,4.0,Phone,28.0
Alaska,B,446.0,lv,1.7314990000000001,0.4277706,0.45441879999999996,2.0,Online,12.0
North Carolina,A,651.0,lv,1.7297150000000001,0.4443042,0.4517924,2.0,Phone,23.0
Louisiana,B+,625.0,lv,1.713857,0.32414659999999995,0.5575133,2.0,Phone,20.0
Indiana,C-,674.0,lv,1.7092779999999999,0.3559478,0.5036864,6.0,Online,8.0
Missouri,C-,671.0,lv,1.701975,0.3759301,0.45373709999999995,6.0,Online,8.0
New Hampshire,C-,659.0,lv,1.699707,0.46560409999999997,0.3446671,6.0,Online,8.0
New York,A,611.0,lv,1.690479,0.5372041,0.3378177,4.0,Phone,22.0
Arizona,A+,401.0,lv,1.6863810000000001,0.43337780000000004,0.4713303,3.0,Phone,15.0
Mississippi,C-,648.0,lv,1.6862599999999999,0.39612320000000006,0.47318600000000005,6.0,Online,8.0
Utah,B,951.0,lv,1.679976,0.1944754,0.3872775,2.0,Online,25.0
Pennsylvania,A,420.0,lv,1.67717,0.4575351,0.4188715,6.0,Phone,13.0
North Carolina,A-,788.0,lv,1.670284,0.46804970000000007,0.47285130000000003,5.0,Phone,24.0
Wisconsin,B,400.0,lv,1.6522729999999999,0.4753767,0.40477920000000006,1.0,Phone,11.0
Ohio,A-,774.0,lv,1.6478439999999999,0.42790550000000005,0.484962,5.0,Phone,24.0
Nevada,B,996.0,lv,1.6463830000000002,0.45612600000000003,0.42107089999999997,2.0,Online,25.0
Maine,B,375.0,lv,1.644911,0.432382,0.403731,2.0,Phone,9.0
Maine,B,375.0,lv,1.644911,0.4843452,0.40682409999999997,2.0,Phone,9.0
Idaho,B,417.0,lv,1.6436979999999999,0.33787680000000003,0.4740484,2.0,Online,12.0
Georgia,B,600.0,lv,1.629946,0.41762309999999997,0.48613170000000006,0.0,Phone,19.0
Utah,B,700.0,lv,1.629737,0.23198,0.27335740000000003,2.0,Phone,20.0
North Carolina,A+,402.0,lv,1.617578,0.4537477,0.47142829999999997,3.0,Phone,16.0
Ohio,A,724.0,lv,1.609459,0.39290279999999994,0.4516641,2.0,Phone,27.0
