state,poll_grade,sample_size,voter_type,poll_weight,dem_cand,rep_cand,poll_duration,poll_methodology,days_before_election
U.S.,B,24316.0,lv,7.5913509999999995,0.4263093,0.4084442,6.0,Online,8.0
U.S.,A+,1128.0,lv,5.229676,0.43157990000000007,0.448354,3.0,Phone,9.0
U.S.,A-,1018.0,lv,4.08061,0.4625638,0.43646440000000003,5.0,Phone,8.0
U.S.,B+,2120.0,rv,4.041479,0.45225790000000005,0.4237133,5.0,Phone,14.0
U.S.,A,1221.0,lv,4.014528,0.44555079999999997,0.42451079999999997,3.0,Phone,14.0
U.S.,A-,1158.0,lv,3.801393,0.4112077,0.3745545,4.0,Online,12.0
U.S.,B+,1212.0,lv,3.2077869999999997,0.495508,0.39778979999999997,4.0,Online,15.0
U.S.,C+,1500.0,lv,3.0845290000000003,0.44565269999999996,0.440927,4.0,Phone,8.0
U.S.,B-,1824.0,rv,3.020342,0.457356,0.4516847,1.0,Phone,13.0
U.S.,C-,40816.0,lv,3.0028669999999997,0.4550983,0.4068513,6.0,Online,9.0
U.S.,B,1209.0,lv,2.981157,0.45397930000000003,0.4172408,4.0,Online,13.0
U.S.,C+,1299.0,lv,2.8664709999999998,0.46342469999999997,0.44114329999999996,6.0,Online,9.0
U.S.,A+,1000.0,lv,2.8662919999999996,0.46776379999999995,0.4016689,3.0,Phone,22.0
U.S.,B+,1000.0,lv,2.5763119999999997,0.4692302,0.3960805,4.0,Phone,15.0
U.S.,A-,724.0,lv,2.5305299999999997,0.4204403,0.3668991,3.0,Phone,15.0
U.S.,A-,1007.0,lv,2.517815,0.47001459999999995,0.41431470000000004,1.0,Phone,21.0
U.S.,B+,990.0,lv,2.500477,0.4491417,0.41330550000000005,1.0,Phone,18.0
U.S.,A-,779.0,lv,2.461519,0.47547759999999994,0.4353545,3.0,Phone,16.0
U.S.,B-,900.0,lv,2.261129,0.484236,0.4002935,3.0,Phone,15.0
U.S.,C+,1050.0,lv,2.153896,0.4416693,0.39106520000000006,4.0,Phone,13.0
U.S.,A+,726.0,lv,2.081449,0.48497300000000004,0.4016272,2.0,Phone,23.0
U.S.,A,845.0,lv,1.975843,0.4449648,0.3747985,3.0,Phone,25.0
U.S.,B+,1029.0,rv,1.8663310000000002,0.47798850000000004,0.4152952,6.0,Phone,21.0
U.S.,B+,1101.0,lv,1.8163040000000001,0.45802529999999997,0.42554990000000004,4.0,Phone,26.0
U.S.,A-,778.0,lv,1.729982,0.4684438,0.40480990000000006,4.0,Phone,23.0
U.S.,C+,1006.0,lv,1.6939669999999998,0.4570754,0.40927840000000004,3.0,Phone,19.0
U.S.,B,1000.0,lv,1.433632,0.4711513,0.4155331,5.0,Phone,26.0
U.S.,A,912.0,lv,1.253575,0.4564513,0.41663909999999993,2.0,Phone,22.0
U.S.,A-,905.0,lv,1.244566,0.4733784,0.4086094,3.0,Phone,26.0
U.S.,A+,1165.0,lv,1.003318,0.4405791,0.441372,3.0,Phone,10.0
U.S.,A+,1160.0,lv,0.8722771,0.4397917,0.44435949999999996,3.0,Phone,11.0
U.S.,A-,1064.0,lv,0.8569686,0.45754829999999996,0.4179768,1.0,Phone,33.0
U.S.,B+,3616.0,rv,0.8507575,0.4624651,0.4246244,13.0,Phone,29.0
U.S.,A+,1002.0,lv,0.8393705,0.42878140000000003,0.4486927,3.0,Phone,45.0
U.S.,A-,1213.0,lv,0.7947754,0.47001529999999997,0.4231031,4.0,Phone,37.0
U.S.,A+,1148.0,lv,0.7572444,0.4491726,0.4472363,3.0,Phone,12.0
U.S.,A+,729.0,lv,0.7236477,0.4646363,0.43810109999999997,3.0,Phone,44.0
U.S.,A,917.0,lv,0.711962,0.4589445,0.40847229999999995,2.0,Phone,27.0
U.S.,B-,2516.0,lv,0.7017045999999999,0.435457,0.37763890000000006,13.0,Online,44.0
U.S.,A+,740.0,lv,0.6839335999999999,0.450653,0.44651040000000003,3.0,Phone,26.0
U.S.,B-,2109.0,rv,0.6803597,0.483951,0.49930019999999997,3.0,Phone,16.0
U.S.,A-,806.0,lv,0.6585799,0.45580909999999997,0.40854199999999996,2.0,Phone,29.0
U.S.,A+,1109.0,lv,0.6451695,0.45852270000000006,0.44014759999999997,3.0,Phone,13.0
U.S.,A,758.0,lv,0.6078696,0.4535702,0.4182555,5.0,Phone,49.0
U.S.,B,925.0,rv,0.5859295999999999,0.4277869,0.4176489,3.0,Online,21.0
U.S.,A+,1135.0,lv,0.5845031999999999,0.457934,0.4226342,3.0,Phone,14.0
U.S.,A-,805.0,lv,0.5828532,0.4609811,0.43336410000000003,4.0,Phone,37.0
U.S.,A,385.0,lv,0.554988,0.455227,0.38536879999999996,4.0,Phone,37.0
U.S.,A+,1119.0,lv,0.5114267,0.4677148,0.4048001,3.0,Phone,15.0
U.S.,A-,1176.0,lv,0.4774340999999999,0.416619,0.38004109999999997,4.0,Online,13.0
U.S.,A+,1155.0,lv,0.469488,0.4776605,0.3867447,3.0,Phone,16.0
U.S.,A-,993.0,lv,0.42613549999999994,0.46256300000000006,0.43948240000000005,5.0,Phone,9.0
U.S.,A-,1195.0,lv,0.41153690000000004,0.4243998,0.37920699999999996,4.0,Online,14.0
